antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({8467}),frozenset({8523}),0.0007180125412857211,0.0011488200660571537,0.0007180125412857211,1.0,870.4583333333334,0.0007171876740706114,inf
frozenset({8459}),frozenset({8411}),0.0014838925853238236,0.001531760088076205,0.0014838925853238236,1.0,652.84375,0.0014816196178866323,inf
frozenset({1857}),frozenset({2582}),0.00045474127614762337,0.015580872145900149,0.00045474127614762337,1.0,64.18125960061444,0.0004476560104645038,inf
frozenset({5250}),frozenset({5251}),0.003231056435785745,0.006198841606433392,0.0031831889330333637,0.9851851851851852,158.93053053053052,0.0031631601259664807,67.08157819156565
frozenset({5228}),frozenset({5227}),0.0009334163036714375,0.0022737063807381167,0.0009094825522952467,0.9743589743589743,428.53333333333336,0.000907360237689704,38.911325451151185
frozenset({4918}),frozenset({4926}),0.005385094059642909,0.0068689866449667325,0.005241491551385764,0.9733333333333333,141.69969802555167,0.005204501412208187,37.24241300081366
frozenset({8411}),frozenset({8459}),0.001531760088076205,0.0014838925853238236,0.0014838925853238236,0.96875,652.84375,0.0014816196178866323,31.95251543726964
frozenset({5193}),frozenset({5993}),0.0006222775357809583,0.001531760088076205,0.0005983437844047676,0.9615384615384616,627.734375,0.0005973906045117519,25.960174237710035
frozenset({2346}),frozenset({2582}),0.0005504762816523862,0.015580872145900149,0.0005265425302761955,0.9565217391304348,61.39077005276164,0.0005179656297124192,22.641639940644314
frozenset({6693}),frozenset({6692}),0.0005504762816523862,0.000646211287157149,0.0005265425302761955,0.9565217391304348,1480.1996779388085,0.0005261868062896794,22.985137140395402
frozenset({290}),frozenset({1256}),0.0005265425302761955,0.0038533339715667034,0.0005026087789000048,0.9545454545454545,247.71936758893278,0.0005005798346806169,21.9152266526255
frozenset({2090}),frozenset({2679}),0.0005026087789000048,0.008640084246804845,0.0004786750275238141,0.9523809523809523,110.22820208415774,0.00047433244533093434,20.818558230817075
frozenset({2165}),frozenset({2473}),0.0004308075247714327,0.0008616150495428654,0.000406873773395242,0.9444444444444444,1096.1327160493827,0.0004065025831484426,17.984490929108222
