itemID,bundles,free_bundles
450,False,False
83,True,False
7851,True,False
9375,False,False
19,False,False
297,False,False
295,True,False
109,True,False
2049,False,False
4322,True,False
7975,False,False
8192,True,False
5007,False,False
2013,False,False
6744,False,False
386,False,False
529,False,False
222,True,False
6653,False,False
5094,False,False
138,False,False
561,False,False
5022,True,False
6575,True,False
6574,True,False
9368,False,False
8075,True,False
8107,False,False
520,False,False
35,False,False
113,False,False
190,False,False
4301,True,False
4302,True,False
7572,False,False
8086,False,False
7798,True,False
6618,False,False
4264,False,False
7972,True,False
4994,False,False
5005,False,False
4938,True,False
4310,True,False
4311,True,False
487,False,False
7844,True,False
4307,True,False
7898,True,False
7761,True,False
2241,False,False
7955,True,False
7878,False,False
7956,True,False
6939,True,False
8931,False,False
8815,False,False
8817,False,False
6941,True,False
7938,True,False
8040,True,False
6940,True,False
7826,False,False
8823,False,False
6734,False,False
6738,False,False
6850,False,False
262,False,False
4232,False,False
6732,False,False
8200,True,False
128,False,False
7981,False,False
9392,False,False
589,False,False
5041,True,False
4928,True,False
8062,True,False
8733,False,False
353,False,False
4941,False,False
5093,True,False
8199,True,False
4481,True,False
8073,False,False
2008,False,False
6731,False,False
6516,False,False
4208,True,False
435,False,False
202,True,False
6632,False,False
6852,False,False
4315,False,False
2245,False,False
26,False,False
654,False,False
52,True,False
218,False,False
8220,False,False
210,False,False
4277,False,False
4478,False,False
4228,False,False
7796,True,False
8117,True,False
8294,False,False
187,False,False
4207,False,False
8066,True,False
8061,True,False
4230,False,False
198,False,False
6496,True,False
8197,True,False
8196,True,False
4881,False,False
4874,True,False
4952,True,False
8118,True,False
7830,False,False
4306,False,False
4334,False,False
341,False,False
8894,False,False
4885,False,False
4982,True,False
1968,False,False
8762,False,False
1985,False,False
6579,True,False
6578,True,False
6495,True,False
512,True,False
4211,False,False
6624,True,False
140,False,False
227,False,False
5063,False,False
293,False,False
9187,False,False
454,False,False
7942,True,False
8124,False,False
622,False,False
9348,False,False
6628,True,False
4912,False,False
4931,True,False
7815,True,False
2054,False,False
4998,True,False
7991,True,False
7986,True,False
6851,False,False
181,False,False
570,False,False
7869,True,False
7838,True,False
8271,True,False
4887,True,False
6499,False,False
6663,False,False
519,False,False
5413,True,False
5415,True,False
8816,False,False
8162,False,False
6695,False,False
6500,False,False
8992,False,False
6694,False,False
451,False,False
182,False,False
385,False,False
383,False,False
8868,False,False
475,False,False
4926,True,False
206,False,False
4331,True,False
201,False,False
6542,True,False
6514,True,False
7865,True,False
7866,True,False
7867,True,False
8093,True,False
9,False,False
8307,True,False
8053,True,False
8052,True,False
7825,True,False
6550,True,False
4958,True,False
168,False,False
6704,False,False
11,False,False
5074,False,False
